"X1" "X2"
"1" 1 2
"2" 2 1
"3" 3 2
"4" 4 1
"5" 5 2
"6" 6 1
"7" 7 1
"8" 8 2
"9" 9 2
"10" 10 1
"11" 11 1
"12" 12 1
"13" 13 2
"14" 14 2
"15" 15 1
"16" 16 1
"17" 17 2
"18" 18 1
"19" 19 2
"20" 20 1
"21" 21 1
"22" 22 1
"23" 23 2
"24" 24 1
"25" 25 2
"26" 26 1
"27" 27 1
"28" 28 2
"29" 29 2
"30" 30 1
"31" 31 2
"32" 32 2
"33" 33 2
"34" 34 1
"35" 35 2
"36" 36 2
"37" 37 1
"38" 38 1
"39" 39 2
"40" 40 1
"41" 41 2
"42" 42 2
"43" 43 2
"44" 44 2
"45" 45 1
"46" 46 2
"47" 47 2
"48" 48 2
"49" 49 1
"50" 50 2
"51" 51 1
"52" 52 2
"53" 53 2
"54" 54 1
"55" 55 2
"56" 56 1
"57" 57 1
"58" 58 2
"59" 59 1
"60" 60 2
"61" 61 1
"62" 62 2
"63" 63 2
"64" 64 1
"65" 65 1
"66" 66 1
"67" 67 1
"68" 68 2
"69" 69 1
"70" 70 2
"71" 71 1
"72" 72 1
"73" 73 1
